URL to be reported,Category of URL,Report reason,Additional details
https://library.tiktok.com/ads/detail/?ad_id=1864910770875393,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Δουκανάρης Φοίβος (ΑΜΔΗ, Λάρνακα) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-05-11; last shown: 2026-05-13 · Advertiser handle: @phivos.doukanaris · Detected via TikTok Research API ad_id=1864910770875393"
https://library.tiktok.com/ads/detail/?ad_id=1846498385425409,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Ιωάννου Κλεονίκη (ΑΜΔΗ, Λεμεσός) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2025-10-20; last shown: 2025-10-21 · Advertiser handle: @kleoniki_ioannou · Detected via TikTok Research API ad_id=1846498385425409"
https://library.tiktok.com/ads/detail/?ad_id=1851721361682753,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Ιωάννου Κλεονίκη (ΑΜΔΗ, Λεμεσός) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2025-12-17; last shown: 2025-12-18 · Advertiser handle: @kleoniki_ioannou · Detected via TikTok Research API ad_id=1851721361682753"
https://library.tiktok.com/ads/detail/?ad_id=1851716675333137,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Ιωάννου Κλεονίκη (ΑΜΔΗ, Λεμεσός) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2025-12-17; last shown: 2025-12-18 · Advertiser handle: @kleoniki_ioannou · Detected via TikTok Research API ad_id=1851716675333137"
https://library.tiktok.com/ads/detail/?ad_id=1852886108105858,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Λαούρης Γιάννης (ΑΜΔΗ, Λευκωσία) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 20251229; last shown: 20260101 · Advertiser handle: @yiannis.laouris · Detected via TikTok Research API ad_id=1852886108105858"
https://library.tiktok.com/ads/detail/?ad_id=1864684179931137,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Λοΐζου Μαρία (ΑΜΔΗ, Λεμεσός) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-05-09; last shown: 2026-05-10 · Advertiser handle: @maria.loizou85 · Detected via TikTok Research API ad_id=1864684179931137"
https://library.tiktok.com/ads/detail/?ad_id=1865264145828865,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Λοΐζου Μαρία (ΑΜΔΗ, Λεμεσός) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-05-15; last shown: 2026-05-15 · Advertiser handle: @maria.loizou85 · Detected via TikTok Research API ad_id=1865264145828865"
https://library.tiktok.com/ads/detail/?ad_id=1860379016356354,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Πάλιος Νίκος (ΑΜΔΗ, Πάφος) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-03-22; last shown: 2026-03-23 · Advertiser handle: @paliosn · Detected via TikTok Research API ad_id=1860379016356354"
https://library.tiktok.com/ads/detail/?ad_id=1864603325259617,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Πάλιος Νίκος (ΑΜΔΗ, Πάφος) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-05-08; last shown: 2026-05-09 · Advertiser handle: @paliosn · Detected via TikTok Research API ad_id=1864603325259617"
https://library.tiktok.com/ads/detail/?ad_id=1864603325256753,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Πάλιος Νίκος (ΑΜΔΗ, Πάφος) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-05-08; last shown: 2026-05-09 · Advertiser handle: @paliosn · Detected via TikTok Research API ad_id=1864603325256753"
https://library.tiktok.com/ads/detail/?ad_id=1858857413283842,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Παπαχριστοφόρου Στυλιανός (ΑΜΔΗ, Αμμόχωστος) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-03-05; last shown: 2026-03-09 · Advertiser handle: @allasoneagian · Detected via TikTok Research API ad_id=1858857413283842"
https://library.tiktok.com/ads/detail/?ad_id=1859262730050561,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Παπαχριστοφόρου Στυλιανός (ΑΜΔΗ, Αμμόχωστος) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-03-10; last shown: 2026-03-12 · Advertiser handle: @allasoneagian · Detected via TikTok Research API ad_id=1859262730050561"
https://library.tiktok.com/ads/detail/?ad_id=1860384978293761,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Παπαχριστοφόρου Στυλιανός (ΑΜΔΗ, Αμμόχωστος) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-03-22; last shown: 2026-03-26 · Advertiser handle: @allasoneagian · Detected via TikTok Research API ad_id=1860384978293761"
https://library.tiktok.com/ads/detail/?ad_id=1865160651763713,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Παπαχριστοφόρου Στυλιανός (ΑΜΔΗ, Αμμόχωστος) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-05-14; last shown: 2026-05-15 · Advertiser handle: @allasoneagian · Detected via TikTok Research API ad_id=1865160651763713"
https://library.tiktok.com/ads/detail/?ad_id=1865239174396929,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Παπαχριστοφόρου Στυλιανός (ΑΜΔΗ, Αμμόχωστος) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-05-15; last shown: 2026-05-16 · Advertiser handle: @allasoneagian · Detected via TikTok Research API ad_id=1865239174396929"
https://library.tiktok.com/ads/detail/?ad_id=1865258586876929,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Παπαχριστοφόρου Στυλιανός (ΑΜΔΗ, Αμμόχωστος) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-05-15; last shown: 2026-05-16 · Advertiser handle: @allasoneagian · Detected via TikTok Research API ad_id=1865258586876929"
https://library.tiktok.com/ads/detail/?ad_id=1847689866139714,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Σταύρου Μάριος (ΑΜΔΗ, Λευκωσία) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2025-11-02; last shown: 2025-11-03 · Advertiser handle: @marios_stavrou_ · Detected via TikTok Research API ad_id=1847689866139714"
https://library.tiktok.com/ads/detail/?ad_id=1847776741992449,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Σταύρου Μάριος (ΑΜΔΗ, Λευκωσία) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2025-11-03; last shown: 2025-11-05 · Advertiser handle: @marios_stavrou_ · Detected via TikTok Research API ad_id=1847776741992449"
